Drug_Index,Protein_Index,Kd (nM)
D24978,P292,8310.0
D5915,P336,8318.0
D11433,P336,8318.0
D24617,P788,8318.0
D24979,P1613,8320.0
D24818,P374,8330.0
D6267,P105,8330.0
D12477,P32,8330.0
D16576,P32,8330.0
D16400,P280,8330.0
D16400,P280,8330.0
D552,P967,8330.0
D351,P34,8330.0
D21785,P32,8330.0
D24980,P1403,8350.0
D24981,P1403,8350.0
D24982,P89,8390.0
D24982,P89,8390.0
D23468,P1274,8393.0
D6934,P923,8400.0
D7124,P173,8400.0
D2733,P1744,8400.0
D12637,P1117,8400.0
D850,P1276,8400.0
D24983,P616,8400.0
D24984,P616,8400.0
D24985,P1664,8400.0
D850,P1276,8400.0
D265,P1412,8400.0
D3265,P803,8400.0
D7302,P1118,8400.0
D9885,P260,8400.0
D7479,P78,8400.0
D265,P1412,8400.0
D21021,P1794,8400.0
D6934,P437,8400.0
D24986,P1251,8400.0
D24987,P1251,8400.0
D24988,P1746,8400.0
D24989,P1746,8400.0
D621,P930,8400.0
D24990,P185,8400.0
D24991,P185,8400.0
D24992,P1961,8400.0
D6934,P923,8400.0
D6122,P391,8400.0
D4477,P504,8400.0
D4403,P1119,8400.0
D7124,P173,8400.0
D3615,P563,8400.0
D7302,P25,8400.0
D621,P873,8400.0
D850,P1023,8400.0
D12637,P1117,8400.0
D7124,P173,8400.0
D850,P1276,8400.0
D6934,P923,8400.0
D621,P873,8400.0
D974,P336,8400.0
D24993,P41,8400.0
D24994,P89,8410.0
D24994,P89,8410.0
D7741,P646,8440.0
D22092,P135,8470.0
D24524,P1220,8470.0
D9804,P594,8475.0
D17303,P1403,8480.0
D24995,P1669,8490.0
D4373,P870,8500.0
D7140,P170,8500.0
D24996,P1962,8500.0
D24052,P553,8500.0
D24997,P35,8500.0
D460,P78,8500.0
D19795,P1794,8500.0
D24998,P267,8500.0
D22226,P1637,8500.0
D3691,P674,8500.0
D4373,P870,8500.0
D7140,P170,8500.0
D5728,P260,8500.0
D6122,P373,8500.0
D3691,P674,8500.0
D7140,P796,8500.0
D3670,P789,8500.0
D2733,P675,8500.0
D24999,P1805,8500.0
D24214,P1919,8500.0
D4373,P870,8500.0
D7140,P170,8500.0
D25000,P1529,8500.0
D25001,P41,8500.0
D23280,P351,8500.0
D25002,P917,8510.0
D19126,P193,8511.0
D5673,P336,8511.0
D6903,P502,8511.0
D18181,P502,8511.0
D25003,P1094,8511.38
D25004,P1776,8530.0
D25005,P3,8550.0
D25006,P41,8560.0
D25007,P1009,8600.0
D20666,P1819,8600.0
D16887,P80,8600.0
D25008,P35,8600.0
D14812,P346,8600.0
D7479,P209,8600.0
D4835,P78,8600.0
D3403,P194,8600.0
D25009,P1606,8600.0
D25010,P1606,8600.0
D3164,P470,8600.0
D25011,P52,8600.0
D5728,P984,8600.0
D5947,P373,8600.0
D4403,P473,8600.0
D5728,P345,8600.0
D11580,P661,8600.0
D6710,P481,8600.0
D6710,P73,8600.0
D3164,P470,8600.0
D25012,P1876,8600.0
D25013,P374,8600.0
D3164,P470,8600.0
D25013,P374,8600.0
D25014,P1516,8600.0
D25014,P1516,8600.0
D25015,P1403,8600.0
D25016,P676,8600.0
D25017,P356,8600.0
D25018,P418,8600.0
D25019,P1629,8610.0
D9804,P585,8621.0
D22269,P197,8630.0
D25020,P1933,8650.0
D4906,P336,8683.0
D25021,P212,8690.0
D9224,P548,8700.0
D8056,P1540,8700.0
D25022,P225,8700.0
D25022,P225,8700.0
D6596,P548,8700.0
D11580,P291,8700.0
D2700,P47,8700.0
D6596,P548,8700.0
D7302,P786,8700.0
D6596,P548,8700.0
D25023,P1014,8700.0
D20218,P1625,8700.0
D25024,P973,8700.0
D25025,P1503,8700.0
D6122,P452,8700.0
D6934,P744,8700.0
D7479,P1411,8700.0
D7302,P1069,8700.0
D7302,P544,8700.0
D2700,P1476,8700.0
D4484,P81,8700.0
D4835,P1016,8700.0
D397,P563,8700.0
D23627,P421,8700.0
D4403,P137,8700.0
D2595,P873,8700.0
D25026,P832,8700.0
D13764,P336,8700.0
D25027,P1403,8700.0
D7579,P65,8700.0
D3551,P1517,8710.0
D11433,P193,8710.0
D11434,P336,8710.0
D4537,P120,8710.0
D20529,P502,8710.0
D16969,P502,8710.0
D25028,P1146,8710.0
D25029,P1669,8710.0
D13327,P326,8714.0
D25030,P1683,8730.0
D25031,P1683,8730.0
D25032,P92,8740.0
D25033,P1683,8790.0
D8530,P1104,8800.0
D7140,P209,8800.0
D2595,P661,8800.0
D6405,P297,8800.0
D13237,P81,8800.0
D25034,P1246,8800.0
D25035,P164,8800.0
D24184,P24,8800.0
D4477,P291,8800.0
D7140,P209,8800.0
D25036,P1251,8800.0
D25037,P1100,8800.0
D25038,P1455,8800.0
D25039,P1746,8800.0
D25040,P1787,8800.0
D5729,P95,8800.0
D3517,P1441,8800.0
D7140,P209,8800.0
D7124,P398,8800.0
D5728,P294,8800.0
D6405,P297,8800.0
D25041,P20,8800.0
D8530,P1104,8800.0
D18572,P694,8800.0
D25042,P346,8800.0
D2595,P661,8800.0
D8530,P1104,8800.0
D6405,P297,8800.0
D25043,P367,8800.0
D23702,P1075,8800.0
D25044,P1075,8800.0
D25045,P1403,8800.0
D25043,P367,8800.0
D25046,P418,8800.0
D12666,P197,8800.0
D25047,P3,8810.0
D25048,P13,8810.0
D25049,P367,8820.0
D25043,P367,8820.0
D21218,P209,8840.0
D25050,P573,8850.0
D24343,P1922,8850.0
D4450,P105,8875.0
D25051,P406,8877.0
D5783,P336,8885.0
D4373,P1202,8900.0
D621,P728,8900.0
D12975,P1963,8900.0
D25052,P452,8900.0
D5728,P559,8900.0
D265,P1040,8900.0
D15927,P209,8900.0
D24419,P1686,8900.0
D25053,P1606,8900.0
D24462,P1166,8900.0
D25054,P1503,8900.0
D11908,P854,8900.0
D621,P878,8900.0
D4373,P82,8900.0
D621,P728,8900.0
D11580,P617,8900.0
D3627,P840,8900.0
D25055,P1805,8900.0
D25056,P3,8900.0
D4373,P82,8900.0
D621,P728,8900.0
D17087,P1063,8900.0
D25057,P27,8900.0
D5608,P197,8900.0
D25058,P1833,8900.0
D19494,P65,8900.0
D25059,P1704,8900.0
D25060,P1405,8900.0
D25061,P208,8900.0
D25062,P506,8900.0
D13018,P303,8900.0
D6193,P295,8900.0
D16825,P906,8913.0
D3551,P193,8913.0
D5674,P1517,8913.0
D4725,P284,8913.0
D5970,P502,8913.0
D25063,P1074,8913.0
D25064,P1074,8913.0
D25065,P41,8930.0
D16673,P197,8930.0
D25066,P41,8940.0
D25067,P317,8990.0
D13331,P326,8991.0
D25068,P1009,9000.0
D25069,P256,9000.0
D2651,P223,9000.0
D9423,P548,9000.0
D4403,P229,9000.0
D25070,P561,9000.0
D25071,P27,9000.0
D25072,P1765,9000.0
D25073,P1619,9000.0
D25074,P1912,9000.0
D25075,P1912,9000.0
D19719,P646,9000.0
D25076,P1677,9000.0
D25076,P1677,9000.0
D14622,P225,9000.0
D25077,P77,9000.0
D21414,P1605,9000.0
D23314,P1964,9000.0
D25078,P266,9000.0
D23315,P23,9000.0
D2651,P209,9000.0
D7302,P550,9000.0
D2700,P78,9000.0
D4477,P291,9000.0
D4484,P504,9000.0
D7920,P729,9000.0
D6162,P963,9000.0
D18702,P72,9000.0
D25079,P1965,9000.0
D25080,P1018,9000.0
D25081,P1966,9000.0
D25082,P1606,9000.0
D25083,P138,9000.0
D25084,P1503,9000.0
D11908,P82,9000.0
D6710,P128,9000.0
D4403,P229,9000.0
D6355,P930,9000.0
D9423,P548,9000.0
D4835,P487,9000.0
D25085,P991,9000.0
D9423,P548,9000.0
D2651,P209,9000.0
D4403,P229,9000.0
D22849,P721,9000.0
D21085,P119,9000.0
D19068,P1468,9000.0
D25086,P1348,9000.0
D25087,P1852,9000.0
D25088,P1852,9000.0
D2664,P11,9000.0
D25089,P1678,9000.0
D25090,P544,9000.0
D25091,P1028,9000.0
D25091,P1028,9000.0
D25092,P918,9000.0
D25093,P1967,9000.0
D25094,P1403,9000.0
D25095,P1403,9000.0
D25096,P1403,9000.0
D25097,P1403,9000.0
D25098,P1273,9000.0
D15452,P194,9000.0
D25099,P1336,9000.0
D23457,P1136,9000.0
D25100,P917,9000.0
D25101,P89,9000.0
D25102,P405,9020.0
D25103,P1149,9040.0
D24865,P1274,9040.0
D25104,P1403,9050.0
D25105,P1396,9050.0
D25106,P1038,9050.0
D14747,P880,9088.0
D14977,P1968,9090.0
D22620,P105,9090.0
D25107,P1683,9090.0
D460,P209,9100.0
D4403,P1144,9100.0
D25108,P452,9100.0
D25109,P452,9100.0
D25110,P1969,9100.0
D3303,P1120,9100.0
D3641,P209,9100.0
D3691,P608,9100.0
D460,P209,9100.0
D4727,P599,9100.0
D460,P209,9100.0
D25111,P1692,9100.0
D1068,P105,9100.0
D25112,P312,9100.0
D460,P233,9100.0
D4403,P1144,9100.0
D9423,P684,9100.0
D6710,P952,9100.0
D25113,P1493,9100.0
D22121,P28,9100.0
D4403,P1144,9100.0
D25114,P1915,9100.0
D25115,P197,9100.0
D3579,P46,9100.0
D697,P38,9100.0
D1118,P38,9100.0
D4412,P46,9100.0
D25116,P1371,9100.0
D25117,P1354,9100.0
D3583,P830,9100.0
D25118,P1747,9100.0
D20051,P382,9120.0
D8064,P502,9120.0
D19829,P502,9120.0
D20404,P502,9120.0
D25119,P641,9130.0
D25120,P1396,9150.0
D25121,P303,9170.0
D25122,P1403,9180.0
D5783,P1517,9184.0
D12637,P1270,9200.0
D25123,P452,9200.0
D25124,P452,9200.0
D11143,P478,9200.0
D25125,P1351,9200.0
D3303,P1056,9200.0
D265,P1344,9200.0
D25126,P1136,9200.0
D24830,P1136,9200.0
D265,P1344,9200.0
D25127,P197,9200.0
D19217,P135,9200.0
D25128,P1746,9200.0
D3266,P1086,9200.0
D4477,P508,9200.0
D22023,P666,9200.0
D21104,P666,9200.0
D25129,P1805,9200.0
D12637,P1270,9200.0
D9670,P830,9200.0
D25130,P5,9200.0
D8612,P193,9200.0
D25131,P879,9200.0
D24764,P73,9200.0
D25132,P1403,9200.0
D17915,P1849,9200.0
D18600,P197,9200.0
D25133,P41,9200.0
D8503,P421,9200.0
D25134,P1442,9250.0
D25134,P1042,9250.0
D23434,P1034,9250.0
D25135,P1829,9270.0
D4403,P731,9300.0
D25136,P1491,9300.0
D20666,P1819,9300.0
D24970,P109,9300.0
D3234,P1676,9300.0
D25137,P35,9300.0
D16286,P135,9300.0
D25138,P1885,9300.0
D3641,P209,9300.0
D6355,P65,9300.0
D2700,P78,9300.0
D24532,P302,9300.0
D4930,P85,9300.0
D227,P63,9300.0
D4403,P731,9300.0
D4727,P493,9300.0
D5947,P333,9300.0
D6711,P296,9300.0
D5728,P244,9300.0
D7479,P1083,9300.0
D9969,P628,9300.0
D25139,P465,9300.0
D24812,P465,9300.0
D4403,P731,9300.0
D11511,P1087,9300.0
D11515,P1087,9300.0
D25140,P59,9300.0
D182,P32,9300.0
D22571,P1075,9300.0
D15062,P1532,9300.0
D25141,P212,9300.0
D25142,P1970,9300.0
D21916,P13,9300.0
D25143,P1435,9300.0
D23842,P917,9300.0
D25144,P589,9300.0
D17309,P138,9300.0
D8503,P579,9300.0
D24622,P1274,9306.0
D22670,P1530,9310.0
D25145,P1669,9310.0
D25146,P92,9320.0
D12346,P526,9332.54
D25147,P26,9333.0
D6130,P193,9333.0
D6131,P1517,9333.0
D4500,P1517,9333.0
D25148,P26,9333.0
D25149,P512,9333.0
D19638,P189,9333.0
D22379,P1971,9340.0
D7794,P193,9368.0
D25150,P1972,9380.0
D25151,P1683,9380.0
D21016,P1801,9390.0
D9411,P251,9400.0
D460,P1056,9400.0
D25152,P1413,9400.0
D13194,P25,9400.0
D24806,P1885,9400.0
D10143,P790,9400.0
D25153,P1251,9400.0
D25154,P891,9400.0
D3691,P111,9400.0
D25155,P1583,9400.0
D3266,P1341,9400.0
D3517,P790,9400.0
D3234,P855,9400.0
D460,P1056,9400.0
D3517,P1255,9400.0
D3266,P861,9400.0
D4477,P251,9400.0
D25156,P244,9400.0
D460,P1056,9400.0
D4477,P251,9400.0
D16515,P1914,9400.0
D18588,P1192,9400.0
D24736,P915,9400.0
D8503,P197,9400.0
D23912,P164,9415.0
D25157,P1403,9430.0
D25158,P616,9430.0
D25159,P1933,9460.0
D25160,P303,9470.0
D25161,P1773,9470.0
D25162,P1973,9480.0
D9411,P1056,9500.0
D25163,P1683,9500.0
D2749,P65,9500.0
D397,P78,9500.0
D6152,P23,9500.0
D9423,P65,9500.0
D3517,P978,9500.0
D8056,P229,9500.0
D25164,P1974,9500.0
D11586,P429,9500.0
D25165,P1606,9500.0
D25166,P119,9500.0
D7302,P791,9500.0
D11580,P812,9500.0
D5947,P65,9500.0
D5728,P145,9500.0
D4477,P1056,9500.0
D6162,P111,9500.0
D25167,P35,9500.0
D25168,P576,9500.0
D16934,P72,9500.0
D4477,P1056,9500.0
D25169,P1832,9500.0
D25170,P1667,9500.0
D20446,P1075,9500.0
D25171,P1640,9500.0
D25172,P1516,9500.0
D25172,P1516,9500.0
D5624,P65,9500.0
D25173,P1435,9500.0
D25174,P1922,9510.0
D19110,P162,9520.0
D25175,P1034,9520.0
D4938,P32,9520.0
D25176,P374,9520.0
D5672,P1517,9550.0
D3549,P193,9550.0
D17303,P135,9550.0
D1109,P138,9586.0
D10143,P858,9600.0
D7920,P858,9600.0
D850,P25,9600.0
D25177,P452,9600.0
D25178,P1884,9600.0
D25179,P35,9600.0
D6934,P208,9600.0
D6405,P65,9600.0
D6710,P65,9600.0
D7140,P78,9600.0
D4835,P209,9600.0
D2651,P873,9600.0
D25180,P1251,9600.0
D24462,P1166,9600.0
D5728,P1021,9600.0
D3234,P548,9600.0
D3517,P960,9600.0
D3517,P333,9600.0
D6162,P289,9600.0
D6122,P722,9600.0
D7920,P858,9600.0
D6122,P1344,9600.0
D850,P25,9600.0
D2651,P873,9600.0
D6710,P728,9600.0
D25181,P244,9600.0
D25182,P1805,9600.0
D25183,P576,9600.0
D17097,P797,9600.0
D10143,P858,9600.0
D7920,P858,9600.0
D850,P25,9600.0
D182,P46,9600.0
D4998,P302,9600.0
D17097,P797,9600.0
D12658,P1200,9600.0
D21130,P1136,9600.0
D23563,P41,9600.0
D25184,P295,9600.0
D9126,P1349,9620.0
D23709,P282,9625.0
D22267,P135,9630.0
D25185,P405,9630.0
D25186,P268,9650.0
D25187,P1194,9655.0
D25188,P1975,9680.0
D25189,P123,9680.0
D7478,P238,9690.0
D2651,P998,9700.0
D25190,P1621,9700.0
D13108,P346,9700.0
D25191,P1396,9700.0
D25192,P452,9700.0
D6934,P386,9700.0
D25193,P1838,9700.0
D21931,P113,9700.0
D21931,P113,9700.0
D3517,P1270,9700.0
D5728,P722,9700.0
D1116,P849,9700.0
D2651,P998,9700.0
D1046,P869,9700.0
D7302,P390,9700.0
D2651,P998,9700.0
D23700,P374,9700.0
D25194,P361,9700.0
D22107,P1637,9700.0
D20688,P356,9700.0
D25195,P41,9700.0
D2627,P1870,9700.0
D25196,P1653,9740.0
D23209,P1794,9740.0
D25197,P1526,9740.0
D25198,P1922,9760.0
D7741,P646,9770.0
D1141,P336,9772.0
D5915,P336,9772.0
D25199,P1976,9772.0
D25200,P526,9772.37
D4529,P830,9780.0
D14264,P421,9780.0
D6122,P1097,9800.0
D460,P875,9800.0
D25201,P1413,9800.0
D15696,P62,9800.0
D6934,P291,9800.0
D3303,P1412,9800.0
D460,P875,9800.0
D5728,P244,9800.0
D25202,P1604,9800.0
D17179,P197,9800.0
D25203,P302,9800.0
D6122,P1097,9800.0
D25204,P1861,9800.0
D5728,P1098,9800.0
D6122,P1097,9800.0
D3615,P982,9800.0
D7302,P849,9800.0
D4368,P1768,9800.0
D25205,P367,9800.0
D24810,P212,9800.0
D6122,P1097,9800.0
D460,P875,9800.0
D16672,P471,9800.0
D24720,P374,9800.0
D24193,P1075,9800.0
D25206,P244,9800.0
D25117,P1354,9800.0
D25207,P1977,9800.0
D25208,P1669,9800.0
D18778,P550,9800.0
D25209,P41,9800.0
D25210,P39,9828.0
D25211,P27,9850.0
D25212,P736,9870.0
D25213,P1683,9880.0
D25214,P771,9890.0
D25215,P506,9890.0
D4403,P738,9900.0
D4403,P708,9900.0
D25216,P1912,9900.0
D25217,P1403,9900.0
D25218,P225,9900.0
D227,P65,9900.0
D6122,P790,9900.0
D25219,P1251,9900.0
D3516,P333,9900.0
D7302,P549,9900.0
D6710,P623,9900.0
D2700,P457,9900.0
D4403,P708,9900.0
D4403,P738,9900.0
D3516,P510,9900.0
D3627,P207,9900.0
D621,P1180,9900.0
D4477,P944,9900.0
D5728,P681,9900.0
D2651,P473,9900.0
D6355,P501,9900.0
D4403,P738,9900.0
D4403,P708,9900.0
D25220,P1862,9900.0
D181,P46,9900.0
D17402,P797,9900.0
D19931,P355,9900.0
D25221,P676,9900.0
D22858,P599,9900.0
D25222,P91,9900.0
D24094,P135,9920.0
D25122,P135,9920.0
D25223,P1024,9948.0
D4484,P1279,10000.0
D227,P340,10000.0
D460,P720,10000.0
D460,P547,10000.0
D460,P1279,10000.0
D621,P720,10000.0
D6162,P426,10000.0
D6162,P545,10000.0
D6162,P546,10000.0
D6162,P720,10000.0
D6162,P494,10000.0
D6162,P547,10000.0
D6162,P905,10000.0
D6162,P1279,10000.0
D25224,P561,10000.0
D24370,P1491,10000.0
D25225,P135,10000.0
D25212,P536,10000.0
D20871,P536,10000.0
D24503,P536,10000.0
D24225,P536,10000.0
D25226,P536,10000.0
D17046,P536,10000.0
D25226,P736,10000.0
D15255,P1178,10000.0
D2595,P1676,10000.0
D24910,P1231,10000.0
D25227,P292,10000.0
D25228,P1479,10000.0
D14612,P78,10000.0
D14612,P244,10000.0
D14612,P466,10000.0
D14612,P770,10000.0
D14612,P25,10000.0
D14612,P330,10000.0
D14612,P488,10000.0
D14612,P225,10000.0
D25229,P1543,10000.0
D25229,P1492,10000.0
D17700,P429,10000.0
D25230,P1377,10000.0
D6276,P105,10000.0
D20981,P105,10000.0
D19530,P105,10000.0
D3210,P105,10000.0
D11860,P193,10000.0
D5783,P336,10000.0
D5783,P1517,10000.0
D5783,P1517,10000.0
D10205,P1517,10000.0
D6751,P193,10000.0
D6940,P193,10000.0
D7027,P193,10000.0
D6681,P1517,10000.0
D6681,P336,10000.0
D25231,P1064,10000.0
D25232,P1064,10000.0
D25233,P1064,10000.0
D25234,P1064,10000.0
D12094,P124,10000.0
D14491,P124,10000.0
D8124,P124,10000.0
D14495,P124,10000.0
D14496,P124,10000.0
D14498,P124,10000.0
D14499,P124,10000.0
D25235,P225,10000.0
D25236,P225,10000.0
D25237,P203,10000.0
D25238,P203,10000.0
D25239,P203,10000.0
D25240,P203,10000.0
D25241,P203,10000.0
D25242,P203,10000.0
D25243,P203,10000.0
D25244,P203,10000.0
D25245,P203,10000.0
D25246,P203,10000.0
D25247,P203,10000.0
D25248,P203,10000.0
D25249,P556,10000.0
D25250,P556,10000.0
D25251,P556,10000.0
D25252,P556,10000.0
D25253,P556,10000.0
D25254,P556,10000.0
D25255,P556,10000.0
D25256,P556,10000.0
D25257,P556,10000.0
D25258,P556,10000.0
D25259,P556,10000.0
D20746,P135,10000.0
D18796,P135,10000.0
D20384,P135,10000.0
D19103,P135,10000.0
D20186,P135,10000.0
D25260,P41,10000.0
D25261,P41,10000.0
D25235,P225,10000.0
D25236,P225,10000.0
D18687,P346,10000.0
D5457,P91,10000.0
D5461,P91,10000.0
D5462,P91,10000.0
D25262,P556,10000.0
D25263,P556,10000.0
D25264,P556,10000.0
D25265,P556,10000.0
D25266,P556,10000.0
D25267,P556,10000.0
D25268,P556,10000.0
D25269,P556,10000.0
D25270,P556,10000.0
D25271,P556,10000.0
D25272,P556,10000.0
D25273,P556,10000.0
D25274,P556,10000.0
D25275,P556,10000.0
D25276,P556,10000.0
D25277,P556,10000.0
D25278,P556,10000.0
D25279,P556,10000.0
D25280,P556,10000.0
D25281,P556,10000.0
D25282,P556,10000.0
D25283,P556,10000.0
D25284,P556,10000.0
D25285,P556,10000.0
D25286,P556,10000.0
D25287,P556,10000.0
D25288,P556,10000.0
D25289,P556,10000.0
D25290,P556,10000.0
D25291,P556,10000.0
D25292,P556,10000.0
D25293,P556,10000.0
D25294,P556,10000.0
D25295,P556,10000.0
D25296,P556,10000.0
D25297,P556,10000.0
D25298,P556,10000.0
D25299,P556,10000.0
D25300,P556,10000.0
D25301,P556,10000.0
D25302,P556,10000.0
D25303,P556,10000.0
D25304,P556,10000.0
D25305,P556,10000.0
D25306,P556,10000.0
D25307,P556,10000.0
D25308,P556,10000.0
D25309,P556,10000.0
D25310,P556,10000.0
D25311,P556,10000.0
D25312,P556,10000.0
D25313,P556,10000.0
D25314,P556,10000.0
D25315,P556,10000.0
D25316,P556,10000.0
D25317,P556,10000.0
D25318,P556,10000.0
D25319,P556,10000.0
D25320,P556,10000.0
D25321,P556,10000.0
D25322,P556,10000.0
D25323,P556,10000.0
D25324,P556,10000.0
D25325,P556,10000.0
D25326,P556,10000.0
D25327,P556,10000.0
D25328,P556,10000.0
D25329,P556,10000.0
D25330,P556,10000.0
D25331,P556,10000.0
D25332,P556,10000.0
D25333,P556,10000.0
D25334,P556,10000.0
D25335,P556,10000.0
D25336,P556,10000.0
D25337,P556,10000.0
D25338,P556,10000.0
D25339,P556,10000.0
D25340,P556,10000.0
D25341,P556,10000.0
D25342,P556,10000.0
D25343,P556,10000.0
D25344,P556,10000.0
D25345,P556,10000.0
D25330,P556,10000.0
D25346,P556,10000.0
D25347,P556,10000.0
D25348,P556,10000.0
D25349,P225,10000.0
D6980,P225,10000.0
D23826,P225,10000.0
D23174,P225,10000.0
D25350,P225,10000.0
D15112,P225,10000.0
D16906,P225,10000.0
D19538,P225,10000.0
D19855,P225,10000.0
D23827,P225,10000.0
D25351,P225,10000.0
D25352,P225,10000.0
D22827,P225,10000.0
D17261,P225,10000.0
D25353,P225,10000.0
D9183,P225,10000.0
D5936,P225,10000.0
D6570,P225,10000.0
D3484,P225,10000.0
D25354,P225,10000.0
D24020,P225,10000.0
D23828,P225,10000.0
D25355,P225,10000.0
D25356,P225,10000.0
D25357,P225,10000.0
D8111,P225,10000.0
D16056,P225,10000.0
D12505,P225,10000.0
D25358,P225,10000.0
D22464,P225,10000.0
D25359,P225,10000.0
D25360,P225,10000.0
D17066,P225,10000.0
D25361,P225,10000.0
D2605,P225,10000.0
D2605,P225,10000.0
D25362,P225,10000.0
D25363,P225,10000.0
D25364,P225,10000.0
D25365,P225,10000.0
D25366,P225,10000.0
D25367,P225,10000.0
D25368,P225,10000.0
D25349,P91,10000.0
D6980,P91,10000.0
D13193,P91,10000.0
D25350,P91,10000.0
D6468,P91,10000.0
D11886,P91,10000.0
D16641,P91,10000.0
D12403,P91,10000.0
D9997,P91,10000.0
D9359,P91,10000.0
D25369,P91,10000.0
D23857,P91,10000.0
D25370,P91,10000.0
D20720,P91,10000.0
D19323,P91,10000.0
D22826,P91,10000.0
D25371,P91,10000.0
D14520,P91,10000.0
D16906,P91,10000.0
D19855,P91,10000.0
D14724,P91,10000.0
D25351,P91,10000.0
D25352,P91,10000.0
D15111,P91,10000.0
D17261,P91,10000.0
D13117,P91,10000.0
D25353,P91,10000.0
D9183,P91,10000.0
D5936,P91,10000.0
D6570,P91,10000.0
D3484,P91,10000.0
D17065,P91,10000.0
D25372,P91,10000.0
D25354,P91,10000.0
D25355,P91,10000.0
D25356,P91,10000.0
D25357,P91,10000.0
D8111,P91,10000.0
D16056,P91,10000.0
D12505,P91,10000.0
D25358,P91,10000.0
D22464,P91,10000.0
D25359,P91,10000.0
D460,P91,10000.0
D14622,P91,10000.0
D25360,P91,10000.0
D17066,P91,10000.0
D25361,P91,10000.0
D25218,P91,10000.0
D2605,P91,10000.0
D2605,P91,10000.0
D25362,P91,10000.0
D22883,P91,10000.0
D15293,P25,10000.0
D6701,P25,10000.0
D12504,P25,10000.0
D10072,P25,10000.0
D4364,P25,10000.0
D13193,P25,10000.0
D11886,P25,10000.0
D16641,P25,10000.0
D12403,P25,10000.0
D25369,P25,10000.0
D25370,P25,10000.0
D25371,P25,10000.0
D8047,P25,10000.0
D15112,P25,10000.0
D16055,P25,10000.0
D19855,P25,10000.0
D15015,P25,10000.0
D15489,P25,10000.0
D25351,P25,10000.0
D15264,P25,10000.0
D15111,P25,10000.0
D4983,P25,10000.0
D11757,P25,10000.0
D25372,P25,10000.0
D13376,P25,10000.0
D4445,P25,10000.0
D25356,P25,10000.0
D10147,P25,10000.0
D12280,P25,10000.0
D9706,P25,10000.0
D11317,P25,10000.0
D22883,P25,10000.0
D6827,P25,10000.0
D7262,P25,10000.0
D25363,P25,10000.0
D22100,P25,10000.0
D25364,P25,10000.0
D25365,P25,10000.0
D25366,P25,10000.0
D25367,P25,10000.0
D25368,P25,10000.0
D23826,P818,10000.0
D22827,P818,10000.0
D25353,P818,10000.0
D23828,P818,10000.0
D25373,P818,10000.0
D25374,P818,10000.0
D25375,P818,10000.0
D25376,P818,10000.0
D25377,P818,10000.0
D25378,P818,10000.0
D22827,P78,10000.0
D22827,P78,10000.0
D22827,P78,10000.0
D5457,P91,10000.0
D5461,P91,10000.0
D5462,P91,10000.0
D25262,P556,10000.0
D25263,P556,10000.0
D25264,P556,10000.0
D25265,P556,10000.0
D25266,P556,10000.0
D25267,P556,10000.0
D25268,P556,10000.0
D25269,P556,10000.0
D25270,P556,10000.0
D25271,P556,10000.0
D25272,P556,10000.0
D25273,P556,10000.0
D25274,P556,10000.0
D25275,P556,10000.0
D25276,P556,10000.0
D25277,P556,10000.0
D25278,P556,10000.0
D25279,P556,10000.0
D25280,P556,10000.0
D25281,P556,10000.0
D25282,P556,10000.0
D25283,P556,10000.0
D25284,P556,10000.0
D25285,P556,10000.0
D25286,P556,10000.0
D25287,P556,10000.0
D25288,P556,10000.0
D25289,P556,10000.0
D25290,P556,10000.0
D25291,P556,10000.0
D25292,P556,10000.0
D25293,P556,10000.0
D25294,P556,10000.0
D25295,P556,10000.0
D25296,P556,10000.0
D25297,P556,10000.0
D25298,P556,10000.0
D25299,P556,10000.0
D25300,P556,10000.0
D25301,P556,10000.0
D25302,P556,10000.0
D25303,P556,10000.0
D25304,P556,10000.0
D25305,P556,10000.0
D25306,P556,10000.0
D25307,P556,10000.0
D25308,P556,10000.0
D25309,P556,10000.0
D25310,P556,10000.0
D25311,P556,10000.0
D25312,P556,10000.0
D25313,P556,10000.0
D25314,P556,10000.0
D25315,P556,10000.0
D25316,P556,10000.0
D25317,P556,10000.0
D25318,P556,10000.0
D25319,P556,10000.0
D25320,P556,10000.0
D25321,P556,10000.0
D25322,P556,10000.0
D25323,P556,10000.0
D25324,P556,10000.0
D25325,P556,10000.0
D25326,P556,10000.0
D25327,P556,10000.0
D25328,P556,10000.0
D25329,P556,10000.0
D25330,P556,10000.0
D25331,P556,10000.0
D25332,P556,10000.0
D25333,P556,10000.0
D25334,P556,10000.0
D25335,P556,10000.0
D25336,P556,10000.0
D25337,P556,10000.0
D25338,P556,10000.0
D25339,P556,10000.0
D25340,P556,10000.0
D25341,P556,10000.0
D25342,P556,10000.0
D25343,P556,10000.0
D25344,P556,10000.0
D25345,P556,10000.0
D25330,P556,10000.0
D25346,P556,10000.0
D25347,P556,10000.0
D25348,P556,10000.0
D25379,P430,10000.0
D25380,P452,10000.0
D25381,P432,10000.0
D25382,P556,10000.0
D25383,P556,10000.0
D25384,P556,10000.0
D25385,P556,10000.0
D25386,P556,10000.0
D25387,P556,10000.0
D25388,P556,10000.0
D25389,P556,10000.0
D25390,P556,10000.0
D25391,P556,10000.0
D25392,P556,10000.0
D25393,P556,10000.0
D25394,P556,10000.0
D25395,P556,10000.0
