DrugBank_ID,UniProt_ID,Kd(nM)
D7706,P35,3.8
D7707,P35,3.8
D7708,P35,3.8
D7709,P35,3.8
D7710,P35,3.8
D7711,P35,3.8
D7712,P35,3.8
D7713,P35,3.8
D7714,P35,3.8
D7715,P35,3.8
D7716,P725,3.8
D7717,P89,3.8
D7718,P35,3.8
D7313,P130,3.8
D7719,P473,3.8
D7720,P47,3.8
D3303,P681,3.8
D265,P252,3.8
D6162,P291,3.8
D4373,P291,3.8
D3343,P21,3.8
D3403,P65,3.8
D3303,P681,3.8
D7302,P78,3.8
D265,P252,3.8
D4373,P291,3.8
D6162,P291,3.8
D7721,P168,3.8
D7722,P625,3.8
D2682,P321,3.8
D3627,P523,3.8
D3266,P854,3.8
D4403,P173,3.8
D701,P501,3.8
D701,P357,3.8
D4368,P215,3.8
D1098,P32,3.8
D7723,P567,3.8
D7528,P439,3.8
D4403,P173,3.8
D6803,P754,3.8
D7724,P526,3.8
D7725,P526,3.8
D7726,P475,3.8
D7727,P65,3.8
D3480,P30,3.8
D3210,P44,3.8
D7728,P374,3.8
D7729,P374,3.8
D7730,P628,3.8
D57,P31,3.8
D686,P38,3.8
D7731,P245,3.8
D7732,P35,3.8
D3691,P488,3.8
D7733,P148,3.8
D7733,P148,3.8
D7734,P793,3.8
D7735,P855,3.8
D6999,P173,3.8
D7736,P123,3.8
D7737,P297,3.8
D7493,P292,3.8
D7738,P418,3.8
D7739,P41,3.81
D7740,P89,3.81
D7741,P646,3.81
D7742,P451,3.83
D7743,P121,3.83
D7744,P89,3.85
D7745,P89,3.85
D7746,P89,3.86
D7747,P641,3.86
D7748,P89,3.89
D7749,P683,3.9
D7750,P683,3.9
D7751,P683,3.9
D4930,P209,3.9
D227,P747,3.9
D7752,P80,3.9
D6748,P856,3.9
D6392,P430,3.9
D7753,P35,3.9
D7754,P35,3.9
D7755,P35,3.9
D7756,P35,3.9
D7757,P35,3.9
D3280,P857,3.9
D184,P400,3.9
D7758,P143,3.9
D3303,P858,3.9
D3303,P858,3.9
D7140,P65,3.9
D4930,P209,3.9
D4930,P209,3.9
D6263,P45,3.9
D7759,P275,3.9
D3302,P482,3.9
D7760,P859,3.9
D3615,P145,3.9
D1114,P260,3.9
D2733,P860,3.9
D701,P383,3.9
D7302,P63,3.9
D227,P747,3.9
D2733,P443,3.9
D7315,P861,3.9
D7413,P25,3.9
D6713,P25,3.9
D3207,P16,3.9
D227,P747,3.9
D7761,P287,3.9
D954,P31,3.9
D128,P31,3.9
D7762,P121,3.9
D7763,P628,3.9
D7764,P628,3.9
D954,P31,3.9
D74,P34,3.9
D7731,P245,3.9
D7765,P35,3.9
D7766,P129,3.9
D7767,P355,3.9
D7768,P35,3.9
D7769,P35,3.9
D7770,P170,3.9
D7695,P386,3.9
D3685,P209,3.9
D477,P862,3.9
D532,P138,3.9
D7771,P863,3.9
D7772,P89,3.91
D7773,P438,3.95
D7774,P451,3.96
D7775,P465,3.96
D7776,P57,3.97
D7777,P89,3.97
D7778,P143,3.98
D7779,P147,3.98
D7780,P239,3.98
D7781,P239,3.98
D4398,P148,3.98
D7782,P369,3.98
D7783,P147,3.98
D7784,P147,3.98
D7785,P188,3.98
D7786,P118,3.98
D7787,P149,3.98
D7788,P149,3.98
D4482,P720,4
D4482,P387,4
D6162,P388,4
D7789,P231,4
D253,P73,4
D7302,P246,4
D253,P811,4
D7217,P736,4
D7218,P536,4
D7219,P536,4
D7790,P864,4
D6532,P865,4
D7791,P80,4
D7792,P105,4
D409,P44,4
D7633,P44,4
D950,P16,4
D7793,P35,4
D7794,P200,4
D7795,P200,4
D399,P866,4
D5004,P289,4
D7796,P35,4
D7797,P35,4
D5004,P289,4
D7798,P203,4
D7799,P203,4
D5004,P289,4
D7800,P532,4
D5091,P41,4
D7801,P268,4
D6135,P262,4
D7802,P35,4
D7803,P35,4
D7804,P35,4
D7805,P35,4
D7806,P35,4
D7807,P35,4
D7808,P89,4
D7809,P89,4
D7810,P89,4
D7811,P89,4
D7812,P89,4
D7813,P89,4
D7814,P89,4
D7815,P89,4
D7816,P89,4
D7817,P89,4
D7818,P89,4
D7819,P35,4
D7820,P35,4
D7821,P555,4
D7822,P555,4
D7823,P555,4
D7824,P555,4
D7825,P555,4
D7826,P555,4
D7827,P555,4
D7828,P555,4
D7829,P555,4
D7830,P555,4
D7831,P556,4
D172,P400,4
D239,P400,4
D7832,P556,4
D7833,P556,4
D7834,P556,4
D7835,P556,4
D7836,P556,4
D7837,P556,4
D7838,P556,4
D7839,P556,4
D7840,P556,4
D7841,P556,4
D7842,P556,4
D7843,P378,4
D7282,P378,4
D7844,P378,4
D3130,P797,4
D7845,P867,4
D7846,P24,4
D7847,P23,4
D7848,P44,4
D7849,P71,4
D7850,P71,4
D7851,P143,4
D7852,P65,4
D1131,P800,4
D7853,P487,4
D265,P702,4
D7854,P19,4
D7855,P19,4
D7856,P62,4
D7857,P62,4
D7858,P62,4
D7859,P62,4
D7860,P62,4
D5563,P62,4
D7861,P62,4
D265,P73,4
D265,P164,4
D265,P811,4
D6710,P488,4
D7862,P211,4
D7863,P211,4
D265,P811,4
D265,P73,4
D6392,P430,4
D7864,P178,4
D7478,P631,4
D7865,P406,4
D7866,P821,4
D7851,P143,4
D332,P48,4
D7867,P719,4
D7868,P213,4
D7869,P213,4
D7870,P563,4
D7302,P63,4
D6710,P868,4
D2733,P869,4
D3627,P524,4
D331,P342,4
D701,P437,4
D701,P78,4
D7302,P246,4
D1116,P870,4
D6994,P871,4
D7871,P367,4
D3207,P48,4
D7095,P346,4
D7872,P346,4
D7799,P203,4
D7873,P176,4
D7874,P176,4
D7875,P610,4
D5582,P439,4
D7876,P439,4
D7302,P246,4
D7302,P246,4
D7877,P260,4
D7686,P63,4
D7050,P63,4
D7878,P63,4
D7879,P566,4
D7880,P67,4
D7881,P512,4
D7882,P872,4
D952,P44,4
D6783,P105,4
D7883,P534,4
D7884,P430,4
D86,P11,4
D5973,P44,4
D7885,P73,4
D7886,P197,4
D7887,P532,4
D7888,P105,4
D181,P32,4
D51,P44,4
D88,P16,4
D87,P32,4
D55,P16,4
D165,P31,4
D116,P30,4
D350,P30,4
D107,P16,4
D72,P11,4
D428,P16,4
D54,P30,4
D1075,P48,4
D6648,P708,4
D5610,P457,4
D6648,P258,4
D6648,P873,4
D5610,P709,4
D5610,P603,4
D5610,P395,4
D6648,P565,4
D5610,P362,4
D6648,P812,4
D7889,P135,4
D6097,P65,4
D6097,P65,4
D7890,P263,4
D3691,P173,4
D7891,P77,4
D7892,P454,4
D5992,P294,4
D7893,P793,4
D7894,P470,4
D7894,P421,4
D7895,P476,4
D7896,P267,4
D2542,P268,4
D7897,P84,4
D3714,P197,4
D7898,P599,4
D5632,P65,4
D7899,P188,4
D7899,P188,4
D7900,P268,4
D7901,P874,4
D2582,P7,4.01
D7902,P641,4.02
D7903,P89,4.03
D7904,P89,4.05
D7905,P89,4.05
D7906,P89,4.05
D7907,P89,4.05
D7908,P89,4.06
D7909,P89,4.06
D7910,P89,4.09
D7302,P63,4.1
D47,P428,4.1
D227,P875,4.1
D7911,P137,4.1
D7911,P137,4.1
D6223,P65,4.1
D7911,P137,4.1
D7911,P137,4.1
D7912,P450,4.1
D726,P45,4.1
D7507,P343,4.1
D7913,P35,4.1
D7911,P137,4.1
D7911,P137,4.1
D7914,P35,4.1
D7915,P35,4.1
D7916,P35,4.1
D7917,P725,4.1
D7918,P35,4.1
D7919,P35,4.1
D7911,P137,4.1
D154,P230,4.1
D3303,P563,4.1
D3303,P829,4.1
D3403,P674,4.1
D4727,P402,4.1
D3266,P488,4.1
D3303,P563,4.1
D227,P875,4.1
D3266,P488,4.1
D532,P294,4.1
D7920,P25,4.1
D7760,P859,4.1
D3627,P357,4.1
D2511,P419,4.1
D4835,P876,4.1
D3691,P65,4.1
D701,P252,4.1
D7921,P113,4.1
D7302,P63,4.1
D227,P875,4.1
D7922,P877,4.1
D6838,P180,4.1
D7923,P119,4.1
D6276,P38,4.1
D4450,P11,4.1
D3210,P48,4.1
D7924,P15,4.1
D676,P284,4.1
D3177,P29,4.1
D7925,P25,4.1
D3212,P38,4.1
D2532,P38,4.1
D2704,P31,4.1
D2505,P436,4.1
D6496,P148,4.1
D6494,P355,4.1
D7926,P466,4.1
D7578,P173,4.1
D7927,P20,4.1
D7928,P57,4.12
D7929,P451,4.13
D7930,P89,4.13
D7931,P465,4.14
D7932,P44,4.17
D7933,P44,4.17
D7164,P16,4.17
D7934,P89,4.17
D7935,P798,4.17
D7936,P369,4.17
D7937,P89,4.18
D7938,P89,4.19
D4373,P398,4.2
D4930,P209,4.2
D7939,P55,4.2
D7940,P80,4.2
D7941,P450,4.2
D7127,P266,4.2
D7942,P621,4.2
D7127,P266,4.2
D7943,P35,4.2
D7944,P35,4.2
D7945,P35,4.2
D7946,P35,4.2
D7947,P725,4.2
D7948,P89,4.2
D3691,P50,4.2
D7949,P143,4.2
D7950,P119,4.2
D4835,P65,4.2
D4930,P209,4.2
D4930,P209,4.2
D7951,P343,4.2
D98,P48,4.2
D3266,P504,4.2
D4373,P398,4.2
D331,P464,4.2
D7952,P244,4.2
D4373,P398,4.2
D7953,P35,4.2
D7523,P63,4.2
D7954,P287,4.2
D7096,P135,4.2
D352,P48,4.2
D6365,P34,4.2
D128,P44,4.2
D602,P48,4.2
D7955,P878,4.2
D6366,P879,4.2
D7956,P678,4.2
D7957,P73,4.2
D434,P32,4.2
D352,P48,4.2
D2536,P170,4.2
D7958,P170,4.2
D6504,P773,4.2
D7959,P423,4.2
D7960,P45,4.2
D2503,P880,4.2
D7961,P89,4.21
D3687,P89,4.22
D7962,P881,4.23
D7963,P89,4.23
D4561,P621,4.27
D7964,P89,4.27
D7965,P89,4.27
D7966,P41,4.28
D621,P125,4.3
D7302,P151,4.3
D253,P752,4.3
D7967,P55,4.3
D7968,P80,4.3
D7969,P35,4.3
D6750,P430,4.3
D577,P137,4.3
D577,P137,4.3
D7970,P35,4.3
D7971,P35,4.3
D7972,P35,4.3
D7973,P35,4.3
D7974,P42,4.3
D7975,P742,4.3
D5555,P762,4.3
D7976,P295,4.3
D7977,P44,4.3
D2733,P488,4.3
D265,P752,4.3
D621,P65,4.3
D7302,P65,4.3
D2699,P672,4.3
D7878,P62,4.3
D2756,P175,4.3
D621,P65,4.3
D7302,P65,4.3
D265,P752,4.3
D1124,P409,4.3
D714,P172,4.3
D7978,P882,4.3
D7979,P143,4.3
D6264,P398,4.3
D1124,P409,4.3
D3266,P738,4.3
D701,P729,4.3
D7186,P722,4.3
D1070,P36,4.3
D7485,P883,4.3
D181,P105,4.3
D162,P16,4.3
D621,P65,4.3
D7980,P72,4.3
D7980,P72,4.3
D7981,P35,4.3
D7982,P312,4.3
D7983,P209,4.3
D7984,P423,4.3
D265,P138,4.3
D7985,P89,4.32
D7986,P89,4.32
D7987,P63,4.34
D7988,P89,4.39
D7989,P211,4.39
D7140,P563,4.4
D253,P847,4.4
D7990,P57,4.4
D6409,P533,4.4
D7991,P80,4.4
D6748,P687,4.4
D6748,P687,4.4
D7507,P430,4.4
D7992,P344,4.4
D7993,P35,4.4
D7994,P35,4.4
D7995,P35,4.4
D7996,P35,4.4
D7553,P35,4.4
D7997,P35,4.4
D7998,P89,4.4
D4872,P35,4.4
D7999,P35,4.4
D8000,P218,4.4
D8001,P10,4.4
D8002,P23,4.4
D265,P847,4.4
D3266,P65,4.4
D265,P847,4.4
D7976,P295,4.4
D8003,P197,4.4
D8004,P884,4.4
D2511,P309,4.4
D4580,P466,4.4
D3627,P244,4.4
D3627,P408,4.4
D7140,P563,4.4
D2733,P291,4.4
D7094,P25,4.4
D7140,P563,4.4
D8005,P260,4.4
D4523,P354,4.4
D8006,P65,4.4
D8007,P257,4.4
D8008,P257,4.4
D8009,P257,4.4
D8010,P257,4.4
D8011,P257,4.4
D8012,P291,4.4
D4450,P44,4.4
D3372,P291,4.4
D7341,P275,4.4
D8013,P332,4.4
D3426,P336,4.4
D6487,P642,4.4
D8014,P135,4.4
D575,P48,4.4
D276,P44,4.4
D353,P46,4.4
D8015,P41,4.4
D6909,P65,4.4
D8016,P35,4.4
D4809,P517,4.4
D8017,P89,4.42
D8018,P121,4.42
D8019,P121,4.42
D8020,P89,4.43
D8021,P89,4.44
D8022,P465,4.45
D8023,P89,4.47
D8024,P89,4.47
D8025,P641,4.47
D8026,P451,4.48
D2733,P358,4.5
D6162,P173,4.5
D2733,P885,4.5
D1047,P886,4.5
D7082,P487,4.5
D7082,P487,4.5
D8027,P80,4.5
D8028,P80,4.5
D8029,P218,4.5
D7082,P487,4.5
D8030,P35,4.5
D8031,P35,4.5
D8032,P89,4.5
D8033,P179,4.5
D8033,P179,4.5
D8034,P143,4.5
D8035,P93,4.5
D3403,P73,4.5
D4727,P402,4.5
D3403,P65,4.5
D6122,P65,4.5
D2733,P488,4.5
D1047,P886,4.5
D332,P44,4.5
D6162,P173,4.5
D701,P398,4.5
D2733,P488,4.5
D6162,P173,4.5
D3342,P106,4.5
D8036,P407,4.5
D8035,P93,4.5
D8037,P176,4.5
D7320,P214,4.5
D1047,P886,4.5
D6162,P173,4.5
D2733,P358,4.5
D6344,P63,4.5
D8038,P291,4.5
D8039,P287,4.5
D8040,P536,4.5
D8041,P105,4.5
D297,P48,4.5
D4478,P470,4.5
D972,P34,4.5
D8042,P292,4.5
D5856,P887,4.5
D6418,P344,4.5
D1015,P46,4.5
D76,P105,4.5
D6995,P44,4.5
D8043,P544,4.5
D6494,P355,4.5
D6496,P148,4.5
D8044,P148,4.5
D8044,P148,4.5
D8045,P719,4.5
D3596,P888,4.5
D8046,P332,4.5
D7345,P188,4.5
D198,P188,4.5
D199,P188,4.5
D200,P188,4.5
D7346,P188,4.5
D7356,P188,4.5
D7347,P188,4.5
D201,P188,4.5
D7357,P188,4.5
D7358,P188,4.5
D7359,P188,4.5
D7348,P188,4.5
D7360,P188,4.5
D7349,P188,4.5
D202,P188,4.5
D7361,P188,4.5
D7362,P188,4.5
D7363,P188,4.5
D203,P188,4.5
D204,P188,4.5
D7350,P188,4.5
D7364,P188,4.5
D7351,P188,4.5
D7365,P188,4.5
D205,P188,4.5
D206,P188,4.5
D7366,P188,4.5
D207,P188,4.5
D208,P188,4.5
D7367,P188,4.5
D209,P188,4.5
D7352,P188,4.5
D7368,P188,4.5
D7353,P188,4.5
D210,P188,4.5
D7354,P188,4.5
D7369,P188,4.5
D7355,P188,4.5
D7370,P188,4.5
D7371,P188,4.5
D211,P188,4.5
D7372,P188,4.5
D7373,P188,4.5
D8047,P323,4.5
D8048,P323,4.5
D8049,P89,4.53
D6306,P16,4.54
D8050,P766,4.54
D8051,P889,4.57
D8052,P89,4.58
D8053,P89,4.58
D8054,P465,4.58
D8055,P89,4.59
D3621,P890,4.6
D8056,P333,4.6
D8057,P35,4.6
D7994,P35,4.6
D8058,P532,4.6
D8059,P35,4.6
D8060,P35,4.6
D8061,P35,4.6
D8062,P35,4.6
D7309,P270,4.6
D7140,P62,4.6
D6704,P78,4.6
D460,P891,4.6
D8063,P721,4.6
D2733,P358,4.6
D8056,P333,4.6
D7773,P438,4.6
D6621,P666,4.6
D7322,P148,4.6
D8056,P333,4.6
D6838,P180,4.6
D8064,P287,4.6
D8065,P374,4.6
D8066,P532,4.6
D117,P44,4.6
D71,P44,4.6
D148,P11,4.6
D3691,P291,4.6
D8067,P3,4.6
D8068,P892,4.6
D8043,P168,4.6
D5746,P247,4.6
D4343,P197,4.6
D8069,P168,4.6
D8070,P188,4.6
D8071,P893,4.6
D8072,P89,4.61
D8073,P641,4.61
D8074,P89,4.65
D3505,P148,4.68
D8075,P89,4.69
D2651,P501,4.7
D253,P796,4.7
D7082,P472,4.7
D7082,P472,4.7
D7082,P472,4.7
D7082,P472,4.7
D333,P894,4.7
D7656,P80,4.7
D2598,P419,4.7
D7082,P472,4.7
D7082,P472,4.7
D2598,P419,4.7
D8076,P35,4.7
D8077,P35,4.7
D8078,P35,4.7
D8079,P35,4.7
D7082,P472,4.7
D8080,P143,4.7
D8081,P438,4.7
D3303,P820,4.7
D3303,P820,4.7
D3303,P488,4.7
D265,P796,4.7
D6704,P291,4.7
D265,P796,4.7
D8082,P895,4.7
D8083,P536,4.7
D4580,P488,4.7
D2651,P501,4.7
D331,P85,4.7
D8084,P861,4.7
D2651,P501,4.7
D3209,P830,4.7
D4526,P73,4.7
D349,P48,4.7
D554,P48,4.7
D4449,P11,4.7
D7486,P34,4.7
D349,P48,4.7
D8085,P273,4.7
D8086,P272,4.7
D8086,P272,4.7
D3505,P148,4.7
D8087,P35,4.7
D8088,P20,4.7
D8089,P188,4.7
D8090,P615,4.7
D8091,P470,4.7
D8092,P896,4.7
D8093,P538,4.7
D8094,P105,4.76
D8095,P89,4.76
D8096,P465,4.76
D8097,P89,4.79
D8098,P89,4.79
D8099,P147,4.79
D8100,P147,4.79
D4403,P151,4.8
D8056,P209,4.8
D8101,P57,4.8
D8102,P80,4.8
D6749,P430,4.8
D8103,P35,4.8
D359,P91,4.8
D359,P91,4.8
D8104,P41,4.8
D8105,P35,4.8
D8106,P35,4.8
D8107,P278,4.8
D8108,P89,4.8
D8109,P89,4.8
D8110,P35,4.8
D8111,P25,4.8
D7935,P798,4.8
D8112,P143,4.8
D3303,P763,4.8
D3303,P763,4.8
D265,P409,4.8
D6710,P488,4.8
D8056,P209,4.8
D3403,P472,4.8
D7302,P65,4.8
D3691,P291,4.8
D8056,P209,4.8
D265,P409,4.8
D8113,P25,4.8
D6896,P277,4.8
D6896,P277,4.8
D8114,P275,4.8
D3691,P291,4.8
D3691,P291,4.8
D8115,P879,4.8
D7139,P159,4.8
D3517,P897,4.8
D331,P168,4.8
D7186,P855,4.8
D1047,P81,4.8
D4403,P65,4.8
D701,P73,4.8
D21,P44,4.8
D3691,P291,4.8
D8116,P244,4.8
D4403,P65,4.8
D8117,P35,4.8
D8118,P35,4.8
D8119,P287,4.8
D6276,P11,4.8
D8114,P275,4.8
D8120,P374,4.8
D8121,P505,4.8
D7422,P48,4.8
D5979,P32,4.8
D88,P11,4.8
D686,P31,4.8
D89,P38,4.8
D554,P48,4.8
D8122,P35,4.8
D8123,P102,4.8
D5611,P577,4.8
D8124,P209,4.8
D8125,P95,4.8
D8126,P267,4.8
D713,P82,4.8
D8127,P898,4.8
D4342,P197,4.8
D8128,P89,4.82
D8129,P89,4.84
D8130,P89,4.85
D8131,P268,4.85
D8132,P211,4.86
D8133,P89,4.87
D6737,P89,4.89
D8134,P89,4.89
D5641,P366,4.89
D7701,P766,4.89
D8135,P244,4.9
D6162,P466,4.9
D2733,P125,4.9
D6405,P398,4.9
D6936,P899,4.9
D333,P900,4.9
D8102,P80,4.9
D8136,P35,4.9
D3513,P621,4.9
D8137,P35,4.9
D8138,P35,4.9
D8139,P35,4.9
D8140,P35,4.9
D8141,P35,4.9
D8142,P725,4.9
D8143,P2,4.9
D8143,P2,4.9
D113,P400,4.9
D8144,P130,4.9
D8145,P438,4.9
D3303,P901,4.9
D3303,P623,4.9
D3403,P902,4.9
D2733,P65,4.9
D5729,P78,4.9
D3517,P65,4.9
D3303,P623,4.9
D3303,P901,4.9
D5728,P65,4.9
D2733,P65,4.9
D8146,P550,4.9
D8147,P895,4.9
D6774,P113,4.9
D6162,P466,4.9
D8148,P177,4.9
D6162,P466,4.9
D3517,P627,4.9
D3627,P391,4.9
D6405,P398,4.9
D4719,P212,4.9
D1098,P16,4.9
D58,P44,4.9
D6405,P398,4.9
D6162,P466,4.9
D4917,P466,4.9
D8149,P526,4.9
D3426,P263,4.9
D3716,P471,4.9
D147,P16,4.9
D5729,P78,4.9
D3711,P155,4.9
D5738,P764,4.9
D8150,P903,4.9
D7767,P355,4.9
D8151,P355,4.9
D7618,P200,4.9
D6285,P345,4.9
D8152,P537,4.9
D8152,P537,4.9
D8153,P506,4.9
D8154,P89,4.92
D6774,P113,4.92
D8155,P89,4.93
D8156,P89,4.94
D8157,P221,4.94
D8158,P89,4.97
D8159,P904,5
D7302,P905,5
D6162,P387,5
D8160,P231,5
D1126,P906,5
D2733,P78,5
D8161,P907,5
D8162,P536,5
D8163,P405,5
D8164,P405,5
D8165,P80,5
D8166,P80,5
D8167,P105,5
D8168,P44,5
D8169,P16,5
D8167,P16,5
D8170,P16,5
D8171,P343,5
D6938,P430,5
D7992,P343,5
D8172,P200,5
D3729,P263,5
D8173,P200,5
D8174,P200,5
D5004,P790,5
D5004,P373,5
D8175,P65,5
D8175,P291,5
D8176,P65,5
D8176,P291,5
D8177,P65,5
D8177,P291,5
D8178,P65,5
D8178,P291,5
D8179,P65,5
D8179,P291,5
D8180,P65,5
D8180,P291,5
D8181,P65,5
D8181,P291,5
D8182,P65,5
D8182,P291,5
D8183,P65,5
D8183,P291,5
D8184,P65,5
D8184,P291,5
D8185,P65,5
D8185,P291,5
D8186,P65,5
D8186,P291,5
D8187,P65,5
D8188,P65,5
D8188,P291,5
D8189,P291,5
D8190,P291,5
D8191,P65,5
D8192,P65,5
D8192,P291,5
D8193,P65,5
D8193,P291,5
D8194,P65,5
D8194,P291,5
D8195,P65,5
D8195,P291,5
D8196,P65,5
D8196,P291,5
D8197,P65,5
D8197,P291,5
D8198,P65,5
D8198,P291,5
D8199,P65,5
D8199,P291,5
D8200,P65,5
D8200,P291,5
D8201,P65,5
D8202,P65,5
D8202,P291,5
D8203,P65,5
D8204,P65,5
D8204,P291,5
D8204,P65,5
D8204,P291,5
D8205,P65,5
D8205,P291,5
D8206,P65,5
D8206,P291,5
D8206,P65,5
D8206,P291,5
D8207,P65,5
D8207,P291,5
D8208,P65,5
D8208,P291,5
D8209,P65,5
D8209,P291,5
D8210,P65,5
D8210,P291,5
D8211,P65,5
D8211,P291,5
D8212,P65,5
D8212,P291,5
D8213,P65,5
D8213,P291,5
D8214,P65,5
D8214,P291,5
D8215,P65,5
D8215,P291,5
D8216,P65,5
D8217,P65,5
D8217,P291,5
D8218,P65,5
D8218,P291,5
D8219,P65,5
D8219,P291,5
D8220,P65,5
D8220,P291,5
D8221,P65,5
D8221,P291,5
D8222,P65,5
D8222,P291,5
D8223,P65,5
D8223,P291,5
D8224,P65,5
D8224,P291,5
D8225,P65,5
D8225,P291,5
D8226,P65,5
D8226,P291,5
D8227,P65,5
D8228,P65,5
D8228,P291,5
D8229,P65,5
D8229,P291,5
D8230,P65,5
D8230,P291,5
D8231,P65,5
D8231,P291,5
D8232,P65,5
D8232,P291,5
D8233,P65,5
D8233,P291,5
D8234,P65,5
D8234,P291,5
D8235,P65,5
D8235,P291,5
D8236,P65,5
D8236,P291,5
D8237,P65,5
D8237,P291,5
D8238,P65,5
D8238,P291,5
D8239,P65,5
D8239,P291,5
D8240,P65,5
D8240,P291,5
D8241,P65,5
D8242,P65,5
D8243,P65,5
D8243,P291,5
D8244,P65,5
D8244,P291,5
D8245,P65,5
D8245,P291,5
D8246,P65,5
D8246,P291,5
D8247,P65,5
D8247,P291,5
D8248,P65,5
D8248,P291,5
D8249,P65,5
D8249,P291,5
D8250,P65,5
D8250,P291,5
D8251,P65,5
D8252,P65,5
D8252,P291,5
D8253,P65,5
D8253,P291,5
D8254,P65,5
D8254,P291,5
D8255,P65,5
D8255,P291,5
D8256,P65,5
D8256,P291,5
D8257,P65,5
D8257,P291,5
D8258,P65,5
D8258,P291,5
D8259,P65,5
D8259,P291,5
D8260,P65,5
D8261,P65,5
D8261,P291,5
D8262,P65,5
D8262,P291,5
D8263,P65,5
D8263,P291,5
D8264,P65,5
D8265,P65,5
D8266,P65,5
D8266,P291,5
D8267,P65,5
D8268,P65,5
D8268,P291,5
D8269,P65,5
D8269,P291,5
D8270,P65,5
D8270,P291,5
D8271,P65,5
D8272,P65,5
D8272,P291,5
D8273,P65,5
D8273,P291,5
D8274,P65,5
D8274,P291,5
D8275,P65,5
D8275,P291,5
D8276,P65,5
D8276,P291,5
D8277,P65,5
D8277,P291,5
D8278,P65,5
D8279,P65,5
D8279,P291,5
D8280,P65,5
D8280,P291,5
D8281,P65,5
D8281,P291,5
D8282,P65,5
D8282,P291,5
D8283,P65,5
D8283,P291,5
D8284,P65,5
D8284,P291,5
D8285,P65,5
D8286,P65,5
D8286,P291,5
D8287,P65,5
D8287,P291,5
D8288,P65,5
D8288,P291,5
D8289,P65,5
D8289,P291,5
D8290,P65,5
D8290,P291,5
D8291,P65,5
D8291,P291,5
D8219,P65,5
D8219,P291,5
D8292,P65,5
D8292,P291,5
D8293,P65,5
D8293,P291,5
D8294,P65,5
D8294,P291,5
D8295,P65,5
D8295,P291,5
D8296,P65,5
D8296,P291,5
D8297,P65,5
D8297,P291,5
D8298,P65,5
D8298,P291,5
D8299,P65,5
D8299,P291,5
D8300,P65,5
D8300,P291,5
D8301,P65,5
D8301,P291,5
D8302,P65,5
D8302,P291,5
D8303,P65,5
D8303,P291,5
D8304,P65,5
D8304,P291,5
D8305,P65,5
D8305,P291,5
D8306,P65,5
D8306,P291,5
D8307,P65,5
D8307,P291,5
D8308,P65,5
D8308,P291,5
D8309,P65,5
D8309,P291,5
D8310,P65,5
D8310,P291,5
D8311,P65,5
D8311,P291,5
D8312,P65,5
D8312,P291,5
D8313,P65,5
D8313,P291,5
D8314,P65,5
D8314,P291,5
D8315,P65,5
D8315,P291,5
D8316,P65,5
D8316,P291,5
D8317,P65,5
D8317,P291,5
D8318,P65,5
D8318,P291,5
D8319,P65,5
D8319,P291,5
D8320,P65,5
D8320,P291,5
D8321,P65,5
D8321,P291,5
D8322,P65,5
D8322,P291,5
D8323,P65,5
D8323,P291,5
D8324,P65,5
D8324,P291,5
D8325,P65,5
D8325,P291,5
D8326,P65,5
D8327,P65,5
D8327,P291,5
D8328,P65,5
D8328,P291,5
D8329,P65,5
D8329,P291,5
D8330,P65,5
D8330,P291,5
D8331,P65,5
D8331,P291,5
D8332,P65,5
D8332,P291,5
D8333,P65,5
D8333,P291,5
D8334,P65,5
D8334,P291,5
D8335,P65,5
D8335,P291,5
D8336,P65,5
D8336,P291,5
D8337,P65,5
D8337,P291,5
D8338,P65,5
D8338,P291,5
D8339,P65,5
D8339,P291,5
D8340,P65,5
D8340,P291,5
D8341,P65,5
D8341,P291,5
D8342,P65,5
D8342,P291,5
D8343,P65,5
D8343,P291,5
D8344,P65,5
D8344,P291,5
D8345,P65,5
D8345,P291,5
D8346,P65,5
D8346,P291,5
D8347,P65,5
D8347,P291,5
D8348,P65,5
D8348,P291,5
D8349,P65,5
D8349,P291,5
D8350,P65,5
D8350,P291,5
D8351,P65,5
D8351,P291,5
D8352,P65,5
D8352,P291,5
D8353,P65,5
D8353,P291,5
D8354,P65,5
D8354,P291,5
D8355,P65,5
D8355,P291,5
D8356,P65,5
D8356,P291,5
D8357,P65,5
D8357,P291,5
D8358,P65,5
D8358,P291,5
D8359,P65,5
D8359,P291,5
D8360,P65,5
D8360,P291,5
D8361,P65,5
D8361,P291,5
D8362,P65,5
D8362,P291,5
D8363,P65,5
D8363,P291,5
D8364,P65,5
D8364,P291,5
D8365,P65,5
D8365,P291,5
D8366,P65,5
D8366,P291,5
D8367,P65,5
D8367,P291,5
D8368,P65,5
D8368,P291,5
D5004,P790,5
D5004,P373,5
D8369,P346,5
D5004,P790,5
D5004,P908,5
D8370,P243,5
D8371,P243,5
D8371,P243,5
D8372,P243,5
D8373,P243,5
D8374,P243,5
D8375,P243,5
D8376,P35,5
D8377,P35,5
D8378,P89,5
D8379,P89,5
D8380,P89,5
D8381,P89,5
D8382,P89,5
D8383,P89,5
D8384,P89,5
D8097,P89,5
D8385,P555,5
D8386,P2,5
D390,P65,5
D5475,P555,5
D5475,P555,5
D8387,P555,5
D8388,P2,5
D8389,P556,5
D8390,P556,5
D8391,P556,5
D8392,P556,5
